"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location"
"0-17",1,-3.04762857835197,0.0114520819215359,-0.00258061550076504,0.000135388145788086,-0.0002378771166908,0.00019312118526576,-9.0633075364127e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,27.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.9931299226228,-0.00484444902528871,-0.00372532265674062,0.00038135667092334,-0.00266309617924677,0.00652238678065544,-0.00862632100183997,0.00469926474015884,0.0228000324936341,-0.0716849664813534,0.0865979887857583,-0.0534050585937802,0.0211211577306783,-0.00740932575816329,0.00197646867737354,-0.000309899037623904,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16.5,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-15.0353694904836,0.00533544866408683,-0.000147235525071226,1.03197193327471e-06,-0.000339819800571193,0.0104978106411182,-0.0288977103786003,0.0289021622731246,-0.0111214059761883,0.000960881356534028,-0.000839358655253264,0.00242773495041454,-0.0183474510463969,0.0535995103979143,-0.0698714915054348,0.0448788025969261,-0.0276370724250587,0.0618829370728894,-0.109530533827849,0.111261543374804,-0.0554946758731343,-0.0304289768995112,0.106603638055759,-0.138601865178623,0.112866193098702,-0.0433810767442658,-0.0276179626728865,0.0603455154068071,-0.077415897716086,104.5,115.5,121,126.5,132,137.5,253,258.5,269.5,275,280.5,286,291.5,297,302.5,308,313.5,319,324.5,330,335.5,341,346.5,352,357.5
"18-49",3,-14.9763716220008,-0.00237988886604966,6.64952213286726e-05,-4.67770041422781e-07,-0.000228133526530649,0.00136654441523199,-0.00307423068938999,0.00205801275024548,0.01106157935652,-0.031795228591898,0.0329132200475526,-0.0150705030396056,0.00380962790951163,-0.00128880336821239,0.000250490406503561,-0.0002931157952768,0.00248712800036844,-0.00450411485159828,0.00162365755304132,0.00399040674279899,-0.00550437816209811,0.00172935462995656,0.00105786085395685,-0.00104520657247712,0.000457013602026658,0,0,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,214.5,225.5,231,236.5,242,247.5,253,258.5,269.5,275,-1,-1,-1,-1
"50-64",3,-14.9214180754134,-0.00898223704932062,0.000247049873272665,-1.73682405505759e-06,0.000897411381651212,-0.00274278913965735,0.0186512294515867,-0.041340202239402,0.0340488215819531,-0.00775655715634714,-0.00250904468395827,0.000754761642057168,-0.000528906978409483,0.00337238356618797,-0.00716695690859517,-0.00489825371393808,0.0461063063563805,-0.0813604967742483,0.0697883827447197,-0.0327288232210127,-0.00469421776652309,0.0494730360431754,-0.0758636467503382,0.0547354975587732,-0.0285104879394475,0.0389052593886193,-0.0565523280745403,0.0707800160587349,0,104.5,110,121,126.5,132,137.5,143,148.5,275,280.5,286,291.5,297,302.5,308,313.5,319,324.5,330,335.5,341,346.5,352,357.5,-1
"65+",3,-14.9756798524788,-0.00370451839320659,0.000103509621374502,-7.28194742592807e-07,-0.000354211991956809,0.00212103946033898,-0.00476793083287335,0.00323026319758515,0.0162103610538099,-0.047768051775412,0.0517205822057238,-0.0257785329856983,0.0069240369566437,-0.0018249559171688,0.000288471948684169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
