"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location"
"0-17",1,-16.978686391176,-2.15506898839502,1.60730229792113,-0.148906759807697,0.222378440954863,-0.105890584590937,0.0465903234195796,-0.0184987267415293,0.00492443508870035,-0.000597110602232382,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,11,16.5,22,27.5,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.8097904600643,-0.101216604482655,0.00858233938787006,-0.000185177963311327,0.000813442132011215,-0.0030835702113512,0.00825421166619728,-0.0313868793366202,0.047088306283565,-0.0282466712938308,0.00831119895654034,-0.00184721799127922,0.000282406041261348,0,0,0,0,0,0,0,0,0,0,22,27.5,33,44,49.5,55,60.5,66,71.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9749303483342,-0.00326889031573826,9.13396937540476e-05,-6.42600002409474e-07,-0.000312277660682175,0.00186990767728029,-0.00420246668254868,0.00284683768629754,0.0142204821923022,-0.0419481646792732,0.0456269759139258,-0.0230246318158048,0.00629930359080016,-0.00163208395807888,0.000257501657193845,0,0,0,0,0,0,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.9742924893652,-0.00275886089629868,7.71182148181577e-05,-5.42829382430491e-07,-0.000260572193623184,0.00156140737002598,-0.00350075648714152,0.00228554993817869,0.012675946409836,-0.0361108892687597,0.0372014496195349,-0.0168832068214418,0.00408275669927263,-0.00126386618668981,0.000213053650608024,0.000296575581354559,-0.000512241035161729,0.000390648847937115,0.000567260485210821,-0.00107806005772246,0.00275417341240737,-0.00450261673745443,0.00227086926240058,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,275,280.5,297,302.5,308,330,335.5,341
"50-64",3,-14.9803017039076,-0.0030622044378157,8.5523116623721e-05,-6.01275876977477e-07,-0.000297585199981398,0.00178186530701977,-0.00402064091117095,0.00275797472279046,0.0142616411563047,-0.0413584525614024,0.0429172881952029,-0.0194936555080133,0.00460925201691727,-0.00137679387279941,0.000219898433714134,0,0,0,0,0,0,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1,-1,-1,-1,-1,-1,-1,-1
"65+",3,-14.9738021582277,-0.0033113604876964,9.25982832496954e-05,-6.52139327390689e-07,-0.00030868506763964,0.00185033041877394,-0.0041360265698272,0.00263701027017997,0.0150920671529789,-0.0426563427237434,0.0437813995351378,-0.0197946106581695,0.00473873509851085,-0.00143553216475231,0.000233922396865553,-2.43944977029128e-06,0,0,0,0,0,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,253,-1,-1,-1,-1,-1,-1,-1
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
