"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location"
"0-17",1,-5.53508927808143,-0.00198164487860339,5.45007395256538e-05,-3.82580046099376e-07,0.00017058109008342,-0.000321085267874671,-0.0026596890118707,0.00731390850626981,-0.00508225396519052,-0.00196817150469764,0.00592567292860183,-0.00423991782989181,0.000691094234733432,0.000870898168297028,-0.000817088680068316,0.000461365807541083,-0.00192466295148582,0.00295777142797986,-0.00154504091095095,0.000167613940572099,0.000164591317013778,-0.00194392542341702,0.0046997284696961,-0.00526868696111982,0.00391531163758349,-0.00230016697656436,0.00184313087871062,-0.00122392247369767,0.000366962789297463,104.5,110,115.5,121,126.5,137.5,143,148.5,159.5,165,170.5,187,198,203.5,209,220,280.5,291.5,297,302.5,308,313.5,324.5,330,357.5
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.9355906205007,-0.0729593213117208,0.0108737340829858,-0.000391017592839698,0.00183045928057793,-0.00285627704670476,0.0203336849338088,-0.0561557620399312,0.0640645178125901,-0.0352194989696919,0.0106020689909739,-0.00263707825188914,0.000431365288745617,-0.000806741100311246,0.00406826566257929,-0.00348641685551847,-0.00227878022894521,0.00330008103657708,-0.00111979203451782,0.000335151093315598,-1.48734611432537e-05,0,0,0,0,0,0,0,0,16.5,22,33,38.5,44,49.5,55,60.5,66,154,165,170.5,176,181.5,192.5,203.5,242,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-7.73503250946731,0.00029911763222023,-7.15040109638448e-06,4.41919612273516e-08,0.000114492564086279,-0.000445347762311225,0.000991325251470879,-0.000668122169320561,-0.000380333486489727,0.000473098299039602,-8.86468091991421e-05,6.47749113398751e-05,-0.000128802317112391,0.000664664821783678,-0.00074002519746154,-0.00110711230533702,0.00299189176897641,-0.00232800441800757,0.00066367822345734,0.000867899642500633,-0.00149915720725133,0.00100469574909211,-0.000654592211075518,-0.000826529036111765,0.0022629636057623,-0.00143259866245718,0.000338568850733849,0,0,115.5,126.5,137.5,143,148.5,154,165,220,231,253,258.5,264,269.5,275,286,291.5,297,308,319,324.5,330,335.5,352,-1,-1
"18-49",3,-7.86576242265123,-0.000773748247938135,2.05865028252985e-05,-1.38187174190842e-07,-7.47436382829322e-05,0.000436847983015894,-0.000885430752397564,0.00367397797074089,-0.00692771572192515,0.00492615465387133,-0.000900788763401423,-0.000250139577218473,1.67437116711184e-05,-2.15722394951516e-05,-0.000525966759048896,0.00160461550177466,-0.00103179664256749,-0.00165844255531881,0.00271703998887243,-0.000555464910650608,-0.00110447480997291,0.000692035528996768,0.00151141112360197,-0.0035600583672362,0.00228291264833412,-0.000278867064357949,-0.000132538470347089,0,0,99,104.5,110,121,126.5,132,137.5,143,225.5,247.5,275,280.5,286,291.5,297,302.5,308,319,324.5,330,335.5,346.5,352,-1,-1
