"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location"
"0-17",1,-18.0619457219058,-2.39906716430385,1.77809952204166,-0.164626569711784,0.245780470331836,-0.116990442461914,0.0515023317785327,-0.0204463506402039,0.00544042297872187,-0.000659843585582491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,11,16.5,22,27.5,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-15.0849999473392,0.0536582862748441,-0.00422752068434464,6.96460677258508e-05,0.00150441666300717,-0.00609213180003898,0.00763794059024863,0.0134385231567386,-0.0550355678812655,0.068087762650064,-0.0398176458716135,0.013431095900758,-0.00434406708388246,0.00133163233341307,-0.000211550228021583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-15.0168190234073,0.00683748401454444,-0.000178766345144183,1.19150880628393e-06,-0.000423852847193656,0.00914280020712238,-0.0222032602168943,0.0180063155977246,-0.00344246271636867,-0.00108322666162926,0.00222424532230948,-0.0121572999658716,0.0194965855269883,0.0066518421836053,-0.0648659445154382,0.102554735909581,-0.0863785281979518,0.0448838155366496,-0.0164624392758987,0.0051879160170858,-0.0012905531897524,0.00656212508007034,-0.0129840051464231,-0.00999759700857162,0.0558635679071427,-0.0801151583500071,0.0986223684748878,0,0,0,0,0,0,0,110,121,126.5,132,137.5,143,247.5,253,258.5,264,269.5,275,280.5,286,291.5,297,302.5,330,335.5,341,346.5,352,357.5,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.9761620113951,-0.0024053279546245,6.72132545590185e-05,-4.72890958268783e-07,-0.000229749304034764,0.0013763385181898,-0.00309376752765607,0.00205909105835094,0.0111447822476421,-0.0319901275361966,0.0331091176771902,-0.0151558763047533,0.00382270666789765,-0.00129057191616943,0.000251386801972025,-0.000334246928408701,0.0037946735067939,-0.009994064079188,0.0123777197217051,-0.00776790965070685,0.00141190153310962,0.00170012651967833,-0.00127138747239753,-0.00107077663960674,0.00243615909274833,-0.00133626821882804,-0.000525349158089533,0.000904511637043265,-0.000365784340916355,-0.00154391213832489,0.0027314641465296,-0.000680455298832221,-0.000856645396309149,0.000628589533681212,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,203.5,214.5,220,225.5,231,236.5,247.5,253,269.5,275,280.5,302.5,308,324.5,330,335.5,341,346.5,357.5
