"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location"
"0-17",1,-19.0431907427013,-2.04979236849622,1.53360931078768,-0.142124215448932,0.212281289443989,-0.101101386832811,0.0444709648053903,-0.0176583956224365,0.00470180448677874,-0.000570043529260963,0,0,0,0,0,0,0,5.5,11,16.5,22,27.5,33,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-15.0799945588892,0.0612333260554705,-0.00493378463706969,8.54295036299208e-05,0.00154518710911675,-0.00632406306820133,0.00628105638162429,0.0168487593345946,-0.0552098760475555,0.0637626975077293,-0.0363621678656144,0.0123713206173609,-0.00404168156720147,0.00124053341105929,-0.000197146218021335,0,0,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,77,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9772561857924,-0.00263118325325189,7.35228231089919e-05,-5.17267500411444e-07,-0.000251505469658367,0.00150663937943047,-0.00338713677854967,0.00225610180452943,0.0122086816040478,-0.0349158377430294,0.0359277881330239,-0.0162347326774791,0.00386637906908941,-0.00116177947269195,0.000187073183976778,-5.29090037275917e-06,6.95332916783336e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,297,346.5
"18-49",3,-14.9688911966077,-0.00280156973042577,7.83242567574306e-05,-5.51436029880486e-07,-0.000263222473398859,0.00157748646854607,-0.00353253812547941,0.00228550756797228,0.0128167114352017,-0.0364147311374371,0.0374652988211606,-0.0169587277676464,0.00405291890085355,-0.001225971862779,0.000199297892008785,-2.89334648768004e-06,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,247.5,-1
"50-64",3,-14.9768897895664,-0.00300789530825149,8.40710821915068e-05,-5.91689590316458e-07,-0.00028504066726914,0.00170788765257028,-0.00383206426511322,0.00251592170237673,0.0138585375133987,-0.0395049604109032,0.0406495527255105,-0.0183881409040466,0.00439158120359283,-0.00132678861499188,0.00021539982438976,-1.86593579865655e-06,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,269.5,-1
"65+",3,-14.9797699357004,-0.0031451425771775,8.78764317173731e-05,-6.18176241625241e-07,-0.000301504308079777,0.00180599376385826,-0.00406275861302115,0.00272169959327743,0.0145797531773214,-0.0418580743445592,0.0432049919510536,-0.0195750857371156,0.00466702664609168,-0.00140885185354872,0.000228483322319839,-2.07499113446643e-06,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,269.5,-1
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
