"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location"
"0-17",1,-5.53508927807908,-0.00198164487861204,5.45007395256668e-05,-3.82580046098486e-07,0.00017058109008326,-0.000321085267874467,-0.00265968901187036,0.00731390850626895,-0.0050822539651898,-0.00196817150469875,0.00592567292860359,-0.00423991782989278,0.000691094234733037,0.000870898168298137,-0.000817088680069071,0.000461365807541417,-0.00192466295148624,0.00295777142797982,-0.00154504091095053,0.000167613940571907,0.000164591317014582,-0.00194392542342596,0.00469972846971385,-0.00526868696112605,0.00391531163756787,-0.00230016697654756,0.00184313087870379,-0.00122392247369598,0.00036696278937289,0,104.5,110,115.5,121,126.5,137.5,143,148.5,159.5,165,170.5,187,198,203.5,209,220,280.5,291.5,297,302.5,308,313.5,324.5,330,357.5,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.935590620458,-0.0729593213121477,0.0108737340829949,-0.00039101759283996,0.00183045928057804,-0.00285627704670401,0.0203336849338045,-0.0561557620399214,0.0640645178125777,-0.0352194989696776,0.0106020689909573,-0.00263707825187591,0.000431365288741093,-0.000806741100302176,0.00406826566249628,-0.00348641685535234,-0.00227878022907613,0.00330008103661885,-0.00111979203452246,0.000335151093317265,-1.48734611431784e-05,0,0,0,0,0,0,0,0,0,16.5,22,33,38.5,44,49.5,55,60.5,66,154,165,170.5,176,181.5,192.5,203.5,242,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-7.50412808583461,-0.000766410343697294,2.10852740071941e-05,-1.4837699271969e-07,7.97311031454804e-05,-0.000248520804130729,0.00157320459916722,-0.00329924293174012,0.00241935275071229,-0.00093659927272997,0.000469966084466409,-0.000112796774222968,0.000184470093610763,-0.000425643967301769,0.000369669236962971,-9.30849529342418e-05,-0.000151667154529287,0.000233300349051218,-7.45839450757497e-05,-0.000247593613238927,0.00051833161986513,-0.00128283978495548,0.00280433235829898,-0.00357036607863241,0.00260652664025978,-0.000750151950810601,-0.000219592186728802,0.000154867988978692,0,0,104.5,110,121,126.5,132,143,148.5,165,181.5,192.5,198,214.5,220,225.5,242,253,258.5,269.5,275,280.5,286,291.5,297,302.5,-1,-1
"18-49",3,-7.24793610866998,0.000515463874420774,-1.34513103658676e-05,8.96346498080211e-08,-3.25338376559853e-05,0.000706083451452825,-0.00169563163457592,0.000998919690237712,0.00119715837889054,-0.00250606242263687,0.00213139312266636,-0.000930462902404523,0.000151331431791202,-8.56114026541681e-05,0.000288025767849761,-0.00030485172656167,0.00021558914030075,-0.000233181087817791,0.00045762817447493,-0.000555341762399836,0.000197563998117424,0,0,0,0,0,0,0,0,0,110,121,126.5,132,137.5,143,148.5,154,165,187,198,203.5,220,231,247.5,253,258.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
