"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location"
"0-17",1,-19.8144844629178,-2.79381682824977,2.05442186161917,-0.190058684740438,0.28364117645036,-0.134948220825212,0.0594491684360337,-0.0235972917336422,0.00627520809641444,-0.000761335426451275,0,0,0,0,0,0,0,5.5,11,16.5,22,27.5,33,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-15.1201612453289,0.0762567770648289,-0.00612343219130463,0.00010529217419057,0.00194970041319245,-0.00795976368562113,0.00839091877398308,0.0203544253306365,-0.0700765005211408,0.0822971164311178,-0.0471955065070608,0.0160074525086636,-0.00522043021083628,0.0016019137211463,-0.000254556317730252,0,0,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,77,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.982136738416,-0.00251693087767748,7.02910982874713e-05,-4.94154033518719e-07,-0.000245004634443863,0.00146703367715155,-0.00331154208338692,0.00227358198767172,0.0118119616374132,-0.0341662747199545,0.0353686677370063,-0.0161036700579049,0.00393178034977872,-0.00124355900049849,0.00021703529410846,4.17997652202545e-06,-5.7063438434371e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,220,269.5
"18-49",3,-14.9761043909439,-0.00261324227491736,7.29981432907912e-05,-5.13351859489315e-07,-0.000252402925687692,0.00151158441599156,-0.00340615537265144,0.002311210356317,0.0121597907772522,-0.0350668447744222,0.0362598885406925,-0.0164318587098445,0.00389396621371014,-0.00116439103687033,0.000186213049509623,-2.45564474073761e-05,0.000430155640904717,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,330,357.5
"50-64",3,-14.9820386114325,-0.00275643327320337,7.69448915152324e-05,-5.4059663445982e-07,-0.000272169178208356,0.00162896502146935,-0.00368824065009466,0.00259661281662509,0.0129107773357712,-0.0376188493206863,0.0388651812693842,-0.0173052171975756,0.00367244992054364,-0.000829723248380569,4.1653606889836e-05,-1.74732277148113e-06,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,154,258.5,-1
"65+",3,-14.9745458944809,-0.00250508949590409,7.0048242013914e-05,-4.93286793172087e-07,-0.00023430225197721,0.00140497563788444,-0.00314341523717268,0.00197453541997216,0.0122075853305519,-0.0332342562016249,0.0318706881845798,-0.0128456021600816,0.00316253178300819,-0.00133574290972846,0.000175326667676564,-2.93872223995904e-06,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,258.5,-1
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
