"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location"
"0-17",1,-13.8321900638886,-0.945959780253298,0.730003863766193,-0.0674461502985351,0.0993182553202062,-0.043554216770069,0.0155089957483237,-0.00482062491148605,0.00117440062756166,-0.000180665739485247,0,0,0,0,0,0,0,5.5,11,16.5,22,27.5,33,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-15.0335955522457,0.0341402995853301,-0.00259703722706653,4.49126999348079e-05,0.000377505475732438,-0.0014420214560725,0.00388587430310908,-0.000945917707288272,-0.015089104908196,0.0254067180449655,-0.0163741647251405,0.00527570275221744,-0.00145574775071229,0.00033192779455276,-1.56553416916403e-05,0,0,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,82.5,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.979128279539,-0.00260719200547346,7.28334839130437e-05,-5.12236176137065e-07,-0.000251294959218368,0.00150495796135144,-0.00338943667653442,0.00229373327738836,0.0120678205033119,-0.034606294260419,0.0354769053236203,-0.0157124269297777,0.00332562011573504,-0.000743963279999707,3.60794215992412e-05,-4.84945479897676e-06,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,154,302.5,-1
"18-49",3,-14.9756003891282,-0.00267726725063535,7.48097721181133e-05,-5.26314633810655e-07,-0.000255979464759214,0.00153340014477038,-0.00344749268142558,0.00229947140792072,0.0123865886295178,-0.0355138720921056,0.0366422268499589,-0.0165956264137343,0.00394835493792981,-0.00118723309169719,0.000191420327762959,-4.44960933424872e-06,6.76349708555335e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,297,346.5
"50-64",3,-14.9789619428132,-0.00298047290268605,8.32941356673109e-05,-5.86120735719603e-07,-0.000283619567543866,0.00169918502271434,-0.00381613411842934,0.00252421876146073,0.0137577184683664,-0.0393272577274472,0.0405216741083852,-0.0183424163664845,0.00437386177629321,-0.00131906703860362,0.000213568579805892,-2.39356726258877e-06,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,269.5,-1
"65+",3,-14.9744575656385,-0.00325799287141457,9.1085641011875e-05,-6.41291619473957e-07,-0.000305984455817618,0.00183376834515039,-0.00410605255190625,0.00265507472242035,0.0148928361456372,-0.0423054761741723,0.0435249288672039,-0.0196893398012966,0.00467843337131743,-0.00140110447649251,0.000224485316100374,-5.64847269042949e-06,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,302.5,-1
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
