"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_31coef","knot_32coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location","knot_31_location","knot_32_location"
"0-17",1,-5.53508927808114,-0.00198164487855119,5.45007395244689e-05,-3.8258004609438e-07,0.00017058109008337,-0.000321085267874742,-0.00265968901187017,0.00731390850626871,-0.00508225396518931,-0.0019681715046997,0.00592567292860486,-0.00423991782989366,0.000691094234734046,0.000870898168296709,-0.000817088680068211,0.000461365807540989,-0.0019246629514858,0.00295777142798015,-0.00154504091095125,0.000167613940572148,0.00016459131701348,-0.00194392542341698,0.0046997284697032,-0.00526868696114347,0.00391531163762091,-0.00230016697659342,0.00184313087872906,-0.00122392247370901,0.000366962789508111,0,0,0,0,0,0,0,104.5,110,115.5,121,126.5,137.5,143,148.5,159.5,165,170.5,187,198,203.5,209,220,280.5,291.5,297,302.5,308,313.5,324.5,330,357.5,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.9355906207335,-0.0729593213116836,0.0108737340830173,-0.0003910175928404,0.0018304592805793,-0.00285627704670547,0.0203336849338079,-0.0561557620399277,0.0640645178125833,-0.0352194989696802,0.0106020689909573,-0.00263707825187531,0.000431365288740898,-0.000806741100304936,0.00406826566252318,-0.00348641685542341,-0.00227878022898294,0.00330008103655875,-0.00111979203450169,0.000335151093309278,-1.48734611417887e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,22,33,38.5,44,49.5,55,60.5,66,154,165,170.5,176,181.5,192.5,203.5,242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-9.06140297983698,-0.00847046282377963,0.000227891859703865,-1.55242348408331e-06,-0.000534163438991855,0.00330229629291891,-0.00630673099420001,-0.00600283532459371,0.0417286709769914,-0.0634141225663879,0.0405431951758406,-0.00901051498479805,-0.000306632514484239,0.0030711378904212,-0.013334158882565,0.0153514735225277,0.0166985106664582,-0.0579459903721967,0.0507238869436104,-0.00719058456686707,-0.00376675117338795,-0.0251817684143428,0.0320963870540251,-0.015123681237137,-0.0204698918363843,0.0712229349225663,-0.0925987747622487,0.112603766091865,0,0,0,0,0,0,0,0,99,104.5,110,115.5,121,126.5,132,137.5,148.5,275,280.5,286,291.5,297,302.5,308,313.5,319,324.5,335.5,341,346.5,352,357.5,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-8.08873013799523,0.00125423446044395,-3.27384700280629e-05,2.18307041489939e-07,-8.47379195365232e-05,0.00144640962195909,-0.00316467344500201,0.00168649405798014,0.00178909143770548,-0.00369387657064878,0.00362632915694718,-0.00196901772898171,0.000372048899053486,0.000333961106971448,-0.000434084027136245,0.000206865485251432,-0.000963058073323438,0.00145789565284374,0.000606007187997715,-0.0040950553271031,0.00522419236734294,-0.00206243578535222,-0.00224224685484327,0.0028831219667746,-0.000669455881462725,-0.000446256431977429,-0.00125011812057234,0.00351009557622264,-0.00300204930382064,0.000954350510856574,0.000526329208938009,-0.00154148923389399,0.000973825100530765,0.00110945303598822,-0.00175236605856555,0.000685290547860879,110,121,126.5,132,137.5,143,148.5,154,165,170.5,176,192.5,209,214.5,220,225.5,231,236.5,242,247.5,253,264,269.5,275,280.5,286,302.5,308,313.5,319,324.5,330
"50-64",3,-14.9481229811209,-0.0046254336278207,0.000124129006185946,-8.42894302681711e-07,-0.000320174744057979,0.00194853341595474,-0.0039041241728883,0.0203670508280183,-0.0439499123306405,0.0360114274026584,-0.00904124390093448,-0.0012341166485212,0.000122121461010224,0.000265804436776458,-0.00164944601433264,0.002803698404072,0.00171176125460941,-0.0175882897306863,0.0339907420568176,-0.0274245226978163,0.00667134055379019,0.00186646534170334,-0.000647952829176804,0,0,0,0,0,0,0,0,0,0,0,0,0,99,104.5,110,121,126.5,132,137.5,143,154,225.5,231,236.5,242,247.5,253,258.5,264,269.5,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",3,-6.70909167437237,-0.000655856372618586,1.8045441713405e-05,-1.26995820595862e-07,6.88941920561983e-05,-0.000216986910996141,0.00128561780328885,-0.00249837942513581,0.00157521518305175,-0.000544768447734779,0.000436129641593222,-0.000185829995724618,7.98510567750675e-05,9.16725860717838e-06,-6.96294347591042e-06,-0.000188581051815354,0.000383007465343054,-0.000884120447305113,0.00142679221429715,-0.000931843397720538,0.00115588476773817,-0.00246076072766885,0.00300840494323125,-0.00251585074650985,0.00124923713571335,-0.00044158040728259,0,0,0,0,0,0,0,0,0,0,104.5,110,121,126.5,132,148.5,154,165,170.5,225.5,247.5,275,280.5,291.5,297,302.5,319,324.5,330,335.5,341,352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
