"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location"
"0-17",1,-3.04762857835197,0.0114520819215359,-0.00258061550076504,0.000135388145788086,-0.0002378771166908,0.00019312118526576,-9.0633075364127e-05,0,0,0,0,0,0,0,0,0,11,22,27.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.9931299226228,-0.00484444902528871,-0.00372532265674062,0.00038135667092334,-0.00266309617924677,0.00652238678065544,-0.00862632100183997,0.00469926474015884,0.0228000324936341,-0.0716849664813534,0.0865979887857583,-0.0534050585937802,0.0211211577306783,-0.00740932575816329,0.00197646867737354,-0.000309899037623904,11,16.5,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9802892752957,-0.00262175522716802,7.32592640708432e-05,-5.15412014891822e-07,-0.000250626892343301,0.0015013894326832,-0.00337540931989492,0.00224744568542279,0.0121868864414029,-0.034805073414387,0.0357579373270962,-0.0161348272075746,0.00384059894936321,-0.00115137641630687,0.000184741133235563,-4.23718112544283e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,308
"18-49",3,-14.9771810250403,-0.00281569373369162,7.86571542536698e-05,-5.53185120923564e-07,-0.000271473191410928,0.00162574621496574,-0.00366169831215948,0.00248224337388022,0.0129809829057739,-0.0373528652772363,0.0384321667387697,-0.0170746932893862,0.0036103435598186,-0.000808801277106359,3.94487976855826e-05,-3.66880649163685e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,154,302.5
"50-64",3,-14.9716034214023,-0.00316928037581523,8.86318933653525e-05,-6.24269928688114e-07,-0.000294676723442162,0.00176646749049551,-0.00394618177738869,0.00250464808957513,0.0144078903248329,-0.0406828516530484,0.0417533293777481,-0.0188703137945154,0.00449809895859032,-0.0013522703451539,0.000217831721542109,-3.63348888475371e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,275
"65+",3,-14.9702126890174,-0.00336149041681111,9.40117743115804e-05,-6.62206375944226e-07,-0.000312027815089488,0.00187054777413631,-0.00417705852747317,0.00264382310970209,0.0152500282504095,-0.0430494347308609,0.0442018072553034,-0.0199832407839269,0.00475328947096752,-0.0014244460292022,0.000228411620759921,-5.18153957436029e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,297
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
