"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_30coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location","knot_30_location"
"0-17",1,-15.0631903640921,0.210327804829511,0.00911316085732803,-0.000455769655781926,0.000572046114717159,-3.17918345283532e-05,-9.96144813927273e-05,8.22682977504876e-06,8.68683324867076e-05,-8.50449449227705e-05,8.063538863802e-06,-3.65241750953341e-05,0.000104863329095926,0.000310716637010086,-0.0013586676798426,0.00168779855394811,-0.000809850299289686,6.17613611758946e-05,0.000114794705920881,-7.95343756703154e-05,1.86161157644875e-06,-0.000318807725795672,0.000377955475843115,0,0,0,0,0,0,0,0,0,0,0,13.3030303030303,26.6060606060606,53.2121212121212,146.333333333333,159.636363636364,172.939393939394,266.060606060606,279.363636363636,292.666666666667,305.969696969697,319.272727272727,332.575757575758,345.878787878788,359.181818181818,399.090909090909,412.393939393939,558.727272727273,851.393939393939,864.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,-8.75937214510645,0.613130720113471,-0.058017333902011,0.00175539735199197,-0.00231022197296213,0.000882280148044727,-0.000361240156133632,1.88839921957708e-05,2.45917119408057e-05,-2.51088779426444e-06,-1.37432160132361e-05,1.21513717621289e-05,-1.15287804664682e-05,4.24128586837701e-06,2.93263494447241e-05,-2.83717690668305e-05,6.04263281639572e-06,8.95286622820224e-05,-0.000235817733610837,0.000152155808174913,-2.93818170133227e-06,-1.50358168469636e-05,1.15377788239942e-05,-6.62877184599438e-06,-7.9963341368633e-05,-3.4203340764928e-05,0.000214962394765562,0,0,0,0,0,0,0,13.3030303030303,26.6060606060606,39.9090909090909,53.2121212121212,119.727272727273,186.242424242424,199.545454545455,266.060606060606,319.272727272727,385.787878787879,399.090909090909,412.393939393939,598.636363636364,611.939393939394,625.242424242424,638.545454545455,665.151515151515,718.363636363636,758.272727272727,824.787878787879,838.090909090909,851.393939393939,864.69696969697,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.48374397532197,0.236796935527796,-0.00651217465358405,4.52213108783929e-05,1.97404042044862e-05,-1.03355196799677e-05,-8.27187961367364e-05,6.84995221294323e-06,4.4433627293613e-05,-1.96525104095219e-05,-1.27544822112396e-05,2.76429285983962e-05,-3.22047837042732e-05,-0.000184237246862367,0.000647199065154857,-0.00107570858284562,0.00123343108562853,-0.000942189231430574,0.000383938036918771,-2.87695564870041e-05,-5.40774336440169e-05,3.8012374243177e-05,-1.41063663410919e-05,5.61316571241868e-05,7.32108283626272e-05,-0.00058614674533136,0.0010963061664358,-0.00121968711281941,0.00122110991561053,-0.00115020934823282,0.000635432840000212,-3.56259801065122e-05,-7.97823071195016e-05,-0.000248486139164392,13.3030303030303,26.6060606060606,53.2121212121212,93.1212121212121,106.424242424242,133.030303030303,212.848484848485,266.060606060606,305.969696969697,319.272727272727,332.575757575758,345.878787878788,359.181818181818,372.484848484848,385.787878787879,399.090909090909,452.30303030303,478.909090909091,532.121212121212,545.424242424242,558.727272727273,572.030303030303,585.333333333333,598.636363636364,611.939393939394,625.242424242424,638.545454545455,651.848484848485,665.151515151515,678.454545454545
"65+",1,-11.2734693107995,0.99871046676898,-0.0752054247011513,0.0019368897205019,-0.0019832777233125,3.4695508792879e-05,4.90546749505101e-05,-3.58079140888949e-05,-2.506927603934e-06,5.4434973373671e-06,-0.000268595106801745,0.000210004657722807,0.00120305817262781,-0.00241124045729733,0.00182335815578528,-0.000721405323911471,0.00018830916991776,-3.31771693974837e-05,5.20287639198191e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3030303030303,26.6060606060606,79.8181818181818,93.1212121212121,199.545454545455,279.363636363636,292.666666666667,305.969696969697,319.272727272727,332.575757575758,345.878787878788,359.181818181818,372.484848484848,385.787878787879,399.090909090909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.7008295187827,-0.00452319012494193,-0.00319865147696603,0.000170592259584766,-0.00067092265983087,0.000621707517901857,-3.1110710192692e-05,-1.51588111546083e-05,-0.000229016178474354,0.000150747624288456,5.7038288779937e-05,-5.75495224944468e-05,1.21115979594998e-05,-5.46530664010638e-05,0.000153267623978127,0.000253030776316494,-0.00165619867576762,0.00287001449655124,-0.00261805895767859,0.00144502827993584,-0.000470702827969301,9.42682157811462e-05,-3.0114501948015e-05,5.20748726136822e-06,1.94552502531242e-06,-0.000418899481801027,0.00047890830395655,0,0,0,0,0,0,0,26.6060606060606,39.9090909090909,53.2121212121212,79.8181818181818,93.1212121212121,106.424242424242,186.242424242424,199.545454545455,292.666666666667,305.969696969697,319.272727272727,332.575757575758,345.878787878788,359.181818181818,372.484848484848,385.787878787879,399.090909090909,412.393939393939,425.69696969697,439,731.666666666667,851.393939393939,864.69696969697,-1,-1,-1,-1,-1,-1,-1
"18-49",2,-14.705877862816,0.172048504125148,-0.0507724117770284,0.00275722665194699,-0.00552514803319369,0.00455982647690855,-0.00269040798972215,0.00142961545762398,-0.000646594998152117,0.000131478260489308,-6.38181373435077e-05,3.06271192187043e-05,1.79899879881696e-05,6.32184312572439e-06,3.63337641241897e-05,-5.15413271041752e-05,7.75850881582494e-06,4.75411914542405e-06,4.11206347065853e-05,-0.000117402432368388,7.83826037423324e-05,-7.43497332032168e-06,6.42725147466625e-06,8.04070894614933e-05,-0.000215063845180138,0.000139669075892063,-2.90639120390646e-06,-1.54837346513858e-05,1.54591813122335e-05,-5.89687179061295e-05,2.36351473475039e-05,-4.18590848307395e-05,0.000168715445291586,0,13.3030303030303,26.6060606060606,39.9090909090909,53.2121212121212,66.5151515151515,79.8181818181818,93.1212121212121,106.424242424242,119.727272727273,172.939393939394,186.242424242424,199.545454545455,252.757575757576,345.878787878788,359.181818181818,372.484848484848,385.787878787879,452.30303030303,598.636363636364,611.939393939394,625.242424242424,638.545454545455,665.151515151515,718.363636363636,758.272727272727,824.787878787879,838.090909090909,851.393939393939,864.69696969697,-1
"50-64",2,-14.9011780785415,0.0393632707779161,0.0167716652855441,-0.000342307426548862,7.6126393612991e-05,0.000333649308186917,-7.44996841431886e-06,-9.94339947404368e-05,8.01955088457253e-06,4.21153369844112e-05,-1.65268397038858e-06,-1.33398307448538e-05,3.52792191995217e-06,2.30418903526728e-05,-1.32899769127319e-05,-9.04007334052636e-05,9.01927379503366e-05,-5.45283428442528e-06,-3.33734291612108e-05,-3.18923414904268e-05,8.14728566582866e-05,0.000379387523913119,-0.000970170859427363,0.000796877205202957,-0.000242581273405828,2.08672882219801e-05,-1.56698395788429e-06,-5.74323538303242e-06,2.06181296121031e-06,0,0,0,0,0,13.3030303030303,26.6060606060606,53.2121212121212,79.8181818181818,106.424242424242,119.727272727273,186.242424242424,199.545454545455,252.757575757576,425.69696969697,452.30303030303,465.606060606061,478.909090909091,558.727272727273,572.030303030303,585.333333333333,598.636363636364,611.939393939394,625.242424242424,638.545454545455,651.848484848485,665.151515151515,691.757575757576,771.575757575758,851.393939393939,-1,-1,-1,-1,-1
"65+",2,-14.7113085140613,0.0985963474059049,-0.0336926461157112,0.00198692059722392,-0.00401607796065096,0.00304290028275283,-0.00113511742153812,0.000106948274308777,3.37995505590925e-05,-1.31606769795278e-05,-3.35895138426662e-06,-6.39413284840367e-06,1.09198736170715e-05,-1.2457316561316e-05,1.28675279330643e-05,-4.30251170217406e-05,0.000105313345714238,0.000257306848060013,-0.00121769700762801,0.00167372210161454,-0.00113566189186713,0.000431050217621759,-7.64391484227124e-05,2.91455887712692e-05,-3.01858758604442e-05,-0.0001732994109835,0.000274052186970774,-0.000396112058059936,0.00022403844071923,0.000623033968645781,-0.00195886054638553,0.00327664125067679,-0.00279356409244469,0.00103853843636844,13.3030303030303,26.6060606060606,39.9090909090909,53.2121212121212,93.1212121212121,106.424242424242,133.030303030303,226.151515151515,332.575757575758,372.484848484848,412.393939393939,425.69696969697,439,452.30303030303,465.606060606061,478.909090909091,492.212121212121,505.515151515152,518.818181818182,532.121212121212,558.727272727273,572.030303030303,585.333333333333,625.242424242424,638.545454545455,651.848484848485,665.151515151515,678.454545454545,691.757575757576,705.060606060606
"0-17",3,-14.8832282260428,0.0027496430652708,-2.5274020536126e-05,5.98234934320941e-08,4.10898585543052e-06,-2.75931380137944e-05,-0.000103519946087093,0.000908859608816726,-0.0015332780056713,0.000324597422852484,0.00137515511124847,-0.0017156365220756,0.00118800901032775,-0.00046402399401694,4.6994014649771e-05,-7.49533888513465e-06,4.97461104720556e-06,-3.55441800431353e-06,-2.63653387079607e-05,3.71280895886593e-05,-1.06620522684266e-05,-0.000344113194334433,0.000408035613896655,0,0,0,0,0,0,0,0,0,0,0,292.666666666667,305.969696969697,319.272727272727,332.575757575758,345.878787878788,359.181818181818,372.484848484848,385.787878787879,399.090909090909,412.393939393939,425.69696969697,439,532.121212121212,665.151515151515,678.454545454545,691.757575757576,744.969696969697,851.393939393939,864.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",3,-14.7646466132132,-0.00454721558915626,3.4834603318404e-05,2.25827969118569e-07,-4.69343149942525e-07,6.85371706439106e-06,-3.82519384888738e-05,0.000123153756922149,0.000336759380093692,-0.0017166667273836,0.00246022992108336,-0.00154171802838035,0.000224987087867136,0.000435125486646442,-0.000521335001365741,0.000147797519702941,0.000552627184652005,-0.00115861013831541,0.00133661593624595,-0.00102375683704665,0.000463915495815819,-5.42063262416387e-05,-3.42133078070402e-05,4.96967200909414e-06,8.06633148879612e-05,-0.0001976514911102,0.000118229561060335,-1.49565102619951e-06,-4.79492837143634e-06,5.71026471402583e-06,-3.47151009688336e-05,-0.000365148940179596,0.00183214869348436,0,26.6060606060606,186.242424242424,199.545454545455,212.848484848485,226.151515151515,239.454545454545,252.757575757576,266.060606060606,279.363636363636,292.666666666667,305.969696969697,319.272727272727,332.575757575758,345.878787878788,359.181818181818,372.484848484848,385.787878787879,399.090909090909,412.393939393939,598.636363636364,611.939393939394,625.242424242424,638.545454545455,665.151515151515,744.969696969697,824.787878787879,838.090909090909,851.393939393939,864.69696969697,-1
