"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location"
"0-17",1,-14.2260767605047,0.213866903157285,-0.00550154445164936,4.767139011079e-05,-9.15330452892397e-06,4.8433804652587e-06,-9.23980660314574e-06,-7.87490135614095e-05,0.000254318296063432,-0.000123844123718805,-0.000628326024805871,0.00101222745281705,-0.000520873200696729,2.39792531318027e-05,2.8389856072275e-05,1.06299779066303e-05,-3.91438234112563e-05,0.000100572894884687,0.000221826652730429,-0.00119219412083474,0.00170914500045675,-0.00110883932639891,0.000335524756503501,-4.50858027587569e-05,8.13361660877038e-06,-3.92863119646347e-06,-2.7390426954449e-05,3.3605641325251e-05,-4.24027003500528e-06,-1.97202902354511e-05,0.000112999524332198,-0.0003669377318325,0,13.3030303030303,26.6060606060606,53.2121212121212,66.5151515151515,119.727272727273,133.030303030303,146.333333333333,159.636363636364,172.939393939394,199.545454545455,212.848484848485,266.060606060606,279.363636363636,292.666666666667,305.969696969697,319.272727272727,332.575757575758,345.878787878788,359.181818181818,372.484848484848,385.787878787879,532.121212121212,545.424242424242,558.727272727273,625.242424242424,824.787878787879,838.090909090909,851.393939393939,-1
"18-49",1,-8.43726951181346,0.213404052056908,-0.00606297586600797,5.54356119387788e-05,-1.62392535995189e-05,8.83294032079523e-06,-1.94271187852593e-05,-0.000128914404880327,0.000106808043837022,-3.41255044089342e-06,-2.31181728928464e-05,2.40283463642724e-05,-8.62698365287799e-06,2.06687194106541e-06,9.70290425482395e-06,-7.3515490582591e-06,1.22216623094023e-06,-3.79203096834094e-05,0.000201883570816612,-0.00062469495357947,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3030303030303,26.6060606060606,53.2121212121212,66.5151515151515,79.8181818181818,186.242424242424,199.545454545455,226.151515151515,319.272727272727,372.484848484848,385.787878787879,412.393939393939,731.666666666667,824.787878787879,838.090909090909,851.393939393939,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.4212640931313,0.231757353008556,-0.00650348516167136,5.77910720899394e-05,-9.75074422664727e-06,5.42000696256173e-06,-1.57404346855134e-05,-0.000217532405909162,0.000222823652004589,-1.42726219541263e-05,-6.15922926974666e-05,6.00376942386972e-05,-1.24729130321309e-05,-4.67899026159805e-05,3.80271894509355e-05,-3.79452233103262e-06,-2.54979480625679e-05,2.48743306561346e-05,-2.77297724167033e-06,4.77527379672266e-06,6.79589081037456e-05,-0.000160936021416863,9.39333999740577e-05,-1.93611484179978e-06,-2.46681577079542e-06,-3.25179327732126e-05,0.000160810664294718,-0.000476020789549452,0,0,0,0,0,13.3030303030303,26.6060606060606,53.2121212121212,66.5151515151515,79.8181818181818,93.1212121212121,133.030303030303,159.636363636364,186.242424242424,199.545454545455,226.151515151515,305.969696969697,319.272727272727,332.575757575758,465.606060606061,598.636363636364,611.939393939394,625.242424242424,638.545454545455,665.151515151515,744.969696969697,824.787878787879,838.090909090909,851.393939393939,-1,-1,-1,-1,-1
"65+",1,-8.56245910699848,0.158264651050504,-0.00179522356423976,5.47171683311637e-06,-2.79962709144504e-07,-4.99274753328033e-06,-3.54847024576956e-06,3.66093866629564e-06,-4.48176036908688e-06,2.71298202217387e-05,0.000137047530094322,-0.000541829255307472,0.00060578425598239,-0.000240024681821082,1.63251202175509e-05,-1.02697698120718e-05,3.54123046527472e-05,-8.69563918524782e-05,-0.000127529941725728,0.00094914157103358,-0.0015868788301287,0.00114335855305451,-0.000346694478653901,3.58114775328039e-05,-4.56382667046365e-06,-2.61751232113022e-05,0.000140128411168701,-0.000434526603398681,0,0,0,0,0,26.6060606060606,133.030303030303,199.545454545455,252.757575757576,425.69696969697,439,452.30303030303,465.606060606061,478.909090909091,492.212121212121,505.515151515152,558.727272727273,572.030303030303,585.333333333333,598.636363636364,611.939393939394,625.242424242424,638.545454545455,651.848484848485,665.151515151515,678.454545454545,824.787878787879,838.090909090909,851.393939393939,-1,-1,-1,-1,-1
"0-17",2,-15.0237468203994,0.279033687727327,-0.0185508286852802,0.000406546603991471,-0.000126894094891846,-0.000659790798024904,0.000483237679677912,-3.64309244416454e-05,-0.000105474197144967,-9.44207154231459e-06,5.32753903381598e-05,0.000397210849012613,-0.000976516248386958,0.000781416170462671,-9.25168331393264e-05,-0.000144423426912919,3.45824392310073e-05,-1.57482142360805e-05,7.3765753085626e-05,0.000168041659447834,-0.00112237598140731,0.00188869047399179,-0.00146860592251633,0.000539232705495004,-7.40172049290511e-05,1.76362658928495e-05,-1.11302536850869e-05,-1.41191048841854e-05,1.4789290423666e-05,-1.97862955793995e-06,-2.67598482078413e-05,0.000140449189078481,-0.000431312155473785,13.3030303030303,26.6060606060606,39.9090909090909,53.2121212121212,79.8181818181818,119.727272727273,133.030303030303,146.333333333333,159.636363636364,172.939393939394,186.242424242424,199.545454545455,239.454545454545,305.969696969697,319.272727272727,332.575757575758,345.878787878788,359.181818181818,372.484848484848,385.787878787879,399.090909090909,412.393939393939,439,572.030303030303,585.333333333333,744.969696969697,824.787878787879,838.090909090909,851.393939393939
"18-49",2,-14.1689492206213,0.362769870917367,-0.0253423439798096,0.00101908299597931,-0.0017849995032468,0.0011370213041569,-0.000383757252803024,3.43085684670095e-05,-1.41881957723325e-05,-3.71405055132556e-05,3.89335351258716e-05,-2.47025745331227e-06,-1.52812048038479e-05,1.11917568787211e-05,-3.11568828933224e-06,-1.78441722041233e-05,2.05211726529816e-05,-2.62362781180302e-06,9.78626229279289e-06,-1.07524066491672e-05,-3.03082864858663e-05,0.000150880265037803,-0.000448664802456307,0,0,0,0,0,0,0,0,0,0,13.3030303030303,26.6060606060606,39.9090909090909,53.2121212121212,79.8181818181818,93.1212121212121,119.727272727273,186.242424242424,199.545454545455,252.757575757576,359.181818181818,372.484848484848,385.787878787879,465.606060606061,731.666666666667,744.969696969697,824.787878787879,838.090909090909,851.393939393939,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,-14.3526224180026,0.156683888645264,0.00958921087765567,-0.000234709318210579,5.6486789485055e-05,0.000253437676326297,-1.112129342019e-05,-8.90373256029616e-05,5.67888631940006e-06,2.58932911235562e-05,-1.39309665227777e-05,1.94301277658816e-06,6.56405089672729e-06,-1.49106978099579e-06,7.56404265783561e-06,-3.37676300984533e-06,-3.00320376282339e-05,2.72382054493064e-05,-2.68569762159512e-05,0.000147534630435572,-0.000465362639537893,0,0,0,0,0,0,0,0,0,0,0,0,13.3030303030303,26.6060606060606,53.2121212121212,66.5151515151515,93.1212121212121,106.424242424242,199.545454545455,239.454545454545,252.757575757576,372.484848484848,585.333333333333,611.939393939394,625.242424242424,638.545454545455,824.787878787879,838.090909090909,851.393939393939,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,-14.367789631861,0.208273066539926,0.00219148882494211,-6.90159159715268e-05,1.94522378459571e-05,5.87516484263219e-05,-1.11756304174625e-06,-9.0375773615021e-06,3.17353563277916e-06,-3.74165307141931e-06,-3.96171134000782e-05,4.9673627838333e-05,-7.87287834386815e-06,-0.000135515707813244,0.000234242565202812,-4.45819562989453e-05,-0.000337185212899263,0.000415091574165066,-0.000132473071448566,1.33715654153265e-06,-0.000120250508837595,0.000120468070419977,0,0,0,0,0,0,0,0,0,0,0,13.3030303030303,26.6060606060606,119.727272727273,133.030303030303,332.575757575758,452.30303030303,465.606060606061,478.909090909091,558.727272727273,572.030303030303,585.333333333333,611.939393939394,625.242424242424,638.545454545455,651.848484848485,678.454545454545,851.393939393939,864.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.8761383699829,0.00245377363632567,-2.25568668491199e-05,5.33982799435863e-08,3.53529792051711e-06,-2.38784171729759e-05,-9.5612680741145e-05,0.000826363682626138,-0.00139358182621505,0.000318521720943805,0.00122040968756393,-0.00174377855733848,0.0016891318457638,-0.0011666540703816,0.000425156879662958,-6.37030453126185e-05,1.55453851576617e-05,-1.1570147690959e-05,-0.000129987340117622,0.000198991146718595,-2.76270707705398e-05,-0.000234407371538714,0.000255548282253078,-2.36921035592077e-05,-7.20647911329186e-05,3.46649922150482e-05,2.06614868072801e-05,-0.000113364246657384,0.000326012630120274,-0.000763002651565613,0,0,0,292.666666666667,305.969696969697,319.272727272727,332.575757575758,345.878787878788,359.181818181818,372.484848484848,385.787878787879,399.090909090909,412.393939393939,425.69696969697,439,452.30303030303,505.515151515152,518.818181818182,532.121212121212,558.727272727273,572.030303030303,585.333333333333,611.939393939394,625.242424242424,651.848484848485,811.484848484848,824.787878787879,838.090909090909,851.393939393939,-1,-1,-1
"18-49",3,-14.8187495613188,0.000267637411545277,-2.01785588421919e-06,1.3764076688464e-09,7.70976126583313e-06,-4.35688602181667e-05,0.000141263989588093,0.00038088667269765,-0.00199093835903241,0.00287420517733119,-0.00178117365326237,0.00026514535028081,0.000311545879208817,-0.00019315365506288,3.20212161439059e-05,-4.03633807118624e-06,4.76748381257788e-06,-2.67559139482881e-05,-7.71276540862012e-05,0.000436941733742138,-0.000623014286379294,0.000309913171914395,-1.41799571868185e-05,-9.84876514948962e-06,-3.08171207917361e-05,0.000162149107628394,-0.000498227854645647,0,0,0,0,0,0,186.242424242424,199.545454545455,212.848484848485,226.151515151515,239.454545454545,252.757575757576,266.060606060606,279.363636363636,292.666666666667,305.969696969697,332.575757575758,412.393939393939,572.030303030303,585.333333333333,598.636363636364,611.939393939394,625.242424242424,638.545454545455,665.151515151515,678.454545454545,824.787878787879,838.090909090909,851.393939393939,-1,-1,-1,-1,-1,-1
