region,date,strain,share
8,2022-02-19,0,0.986050326908721
8,2022-02-19,1,0.0139496730912792
8,2022-02-19,2,0
8,2022-02-19,3,0
8,2022-02-19,4,0
8,2022-03-05,0,0.936671864153235
8,2022-03-05,1,0.0633281358467646
8,2022-03-05,2,0
8,2022-03-05,3,0
8,2022-03-05,4,0
8,2022-03-19,0,0.750065881516451
8,2022-03-19,1,0.249934118483549
8,2022-03-19,2,0
8,2022-03-19,3,0
8,2022-03-19,4,0
8,2022-04-02,0,0.396085383633855
8,2022-04-02,1,0.603914616366145
8,2022-04-02,2,0
8,2022-04-02,3,0
8,2022-04-02,4,0
8,2022-04-16,0,0.135917192821192
8,2022-04-16,1,0.864082807178808
8,2022-04-16,2,0
8,2022-04-16,3,0
8,2022-04-16,4,0
8,2022-04-30,0,0.0365394991900743
8,2022-04-30,1,0.963460500809926
8,2022-04-30,2,0
8,2022-04-30,3,0
8,2022-04-30,4,0
8,2022-05-14,0,0.0182157591014963
8,2022-05-14,1,0.981784240898504
8,2022-05-14,2,0
8,2022-05-14,3,0
8,2022-05-14,4,0
8,2022-05-28,0,0.00500275401430864
8,2022-05-28,1,0.994997245985691
8,2022-05-28,2,0
8,2022-05-28,3,0
8,2022-05-28,4,0
8,2022-06-11,0,0.00294608921146416
8,2022-06-11,1,0.997053910788536
8,2022-06-11,2,0
8,2022-06-11,3,0
8,2022-06-11,4,0
8,2022-06-25,0,0.0026993004398931
8,2022-06-25,1,0.997300699560107
8,2022-06-25,2,0
8,2022-06-25,3,0
8,2022-06-25,4,0
8,2022-07-09,0,0.00441670127052425
8,2022-07-09,1,0.995583298729476
8,2022-07-09,2,0
8,2022-07-09,3,0
8,2022-07-09,4,0
8,2022-07-23,0,0.005779850110932
8,2022-07-23,1,0.994220149889068
8,2022-07-23,2,0
8,2022-07-23,3,0
8,2022-07-23,4,0
8,2022-08-06,0,0.00808476066040213
8,2022-08-06,1,0.990171370253424
8,2022-08-06,2,0.00174386908617357
8,2022-08-06,3,0
8,2022-08-06,4,0
8,2022-08-20,0,0.00796340916922813
8,2022-08-20,1,0.986135252398175
8,2022-08-20,2,0.00590133843259703
8,2022-08-20,3,0
8,2022-08-20,4,0
8,2022-09-03,0,0.0118227528200364
8,2022-09-03,1,0.986926005258048
8,2022-09-03,2,0.00125124192191594
8,2022-09-03,3,0
8,2022-09-03,4,0
8,2022-09-17,0,0.00813363580932074
8,2022-09-17,1,0.984015750877757
8,2022-09-17,2,0.00785061331292182
8,2022-09-17,3,0
8,2022-09-17,4,0
8,2022-10-01,0,0.00216509361147542
8,2022-10-01,1,0.971530633832234
8,2022-10-01,2,0.0263042725562911
8,2022-10-01,3,0
8,2022-10-01,4,0
8,2022-10-15,0,0.00185133634373054
8,2022-10-15,1,0.921606841502348
8,2022-10-15,2,0.076541822153922
8,2022-10-15,3,0
8,2022-10-15,4,0
8,2022-10-29,0,0.00576154071611245
8,2022-10-29,1,0.845405793306859
8,2022-10-29,2,0.148832665977029
8,2022-10-29,3,0
8,2022-10-29,4,0
8,2022-11-12,0,0.00198549843111904
8,2022-11-12,1,0.668468224662394
8,2022-11-12,2,0.329546276906487
8,2022-11-12,3,0
8,2022-11-12,4,0
8,2022-11-26,0,0.00157751369533368
8,2022-11-26,1,0.517423272063955
8,2022-11-26,2,0.480999214240711
8,2022-11-26,3,0
8,2022-11-26,4,0
8,2022-12-10,0,0.00181117915331672
8,2022-12-10,1,0.427218710813722
8,2022-12-10,2,0.570970110032962
8,2022-12-10,3,0
8,2022-12-10,4,0
8,2022-12-24,0,0.000684765564444201
8,2022-12-24,1,0.312328516169437
8,2022-12-24,2,0.686986718266119
8,2022-12-24,3,0
8,2022-12-24,4,0
8,2023-01-07,0,0.00028552353204856
8,2023-01-07,1,0.213427153619559
8,2023-01-07,2,0.786287322848393
8,2023-01-07,3,0
8,2023-01-07,4,0
8,2023-01-21,0,0
8,2023-01-21,1,0.123762739063635
8,2023-01-21,2,0.876237260936365
8,2023-01-21,3,0
8,2023-01-21,4,0
8,2023-02-04,0,0.000896875086057553
8,2023-02-04,1,0.0647805856418105
8,2023-02-04,2,0.925262080254736
8,2023-02-04,3,0.00906045901739565
8,2023-02-04,4,0
8,2023-02-18,0,0.00104813045750244
8,2023-02-18,1,0.0496293194891346
8,2023-02-18,2,0.936167124416416
8,2023-02-18,3,0.0131554256369473
8,2023-02-18,4,0
8,2023-03-04,0,0
8,2023-03-04,1,0.0134979066348375
8,2023-03-04,2,0.975888828307225
8,2023-03-04,3,0.0106132650579375
8,2023-03-04,4,0
8,2023-03-18,0,0
8,2023-03-18,1,0.0119540422795869
8,2023-03-18,2,0.967897136074732
8,2023-03-18,3,0.0201488216456816
8,2023-03-18,4,0
8,2023-04-01,0,0
8,2023-04-01,1,0.0110893372455699
8,2023-04-01,2,0.92189176375583
8,2023-04-01,3,0.0670188989986
8,2023-04-01,4,0
8,2023-04-15,0,0.00104655317762098
8,2023-04-15,1,0.00663457487612524
8,2023-04-15,2,0.925206499469838
8,2023-04-15,3,0.067112372476416
8,2023-04-15,4,0
8,2023-04-29,0,0
8,2023-04-29,1,0.00374790386699104
