region,date,strain,share
4,2022-02-19,0,0.982302428833442
4,2022-02-19,1,0.0176975711665578
4,2022-02-19,2,0
4,2022-02-19,3,0
4,2022-02-19,4,0
4,2022-03-05,0,0.924724700823565
4,2022-03-05,1,0.0752752991764351
4,2022-03-05,2,0
4,2022-03-05,3,0
4,2022-03-05,4,0
4,2022-03-19,0,0.672941672232455
4,2022-03-19,1,0.327058327767545
4,2022-03-19,2,0
4,2022-03-19,3,0
4,2022-03-19,4,0
4,2022-04-02,0,0.284512225740397
4,2022-04-02,1,0.715487774259603
4,2022-04-02,2,0
4,2022-04-02,3,0
4,2022-04-02,4,0
4,2022-04-16,0,0.0683037542835018
4,2022-04-16,1,0.931696245716498
4,2022-04-16,2,0
4,2022-04-16,3,0
4,2022-04-16,4,0
4,2022-04-30,0,0.0172815421182385
4,2022-04-30,1,0.982718457881762
4,2022-04-30,2,0
4,2022-04-30,3,0
4,2022-04-30,4,0
4,2022-05-14,0,0.00403983150033768
4,2022-05-14,1,0.995960168499662
4,2022-05-14,2,0
4,2022-05-14,3,0
4,2022-05-14,4,0
4,2022-05-28,0,0.00224373074860601
4,2022-05-28,1,0.997756269251394
4,2022-05-28,2,0
4,2022-05-28,3,0
4,2022-05-28,4,0
4,2022-06-11,0,0.00255035987700009
4,2022-06-11,1,0.997449640123
4,2022-06-11,2,0
4,2022-06-11,3,0
4,2022-06-11,4,0
4,2022-06-25,0,9.75064202977813e-05
4,2022-06-25,1,0.999819106180071
4,2022-06-25,2,8.33873996314602e-05
4,2022-06-25,3,0
4,2022-06-25,4,0
4,2022-07-09,0,0.00016477303018641
4,2022-07-09,1,0.999756372141531
4,2022-07-09,2,7.88548282820933e-05
4,2022-07-09,3,0
4,2022-07-09,4,0
4,2022-07-23,0,0.000457323721625022
4,2022-07-23,1,0.999289843932988
4,2022-07-23,2,0.000252832345386877
4,2022-07-23,3,0
4,2022-07-23,4,0
4,2022-08-06,0,0.000122194392391482
4,2022-08-06,1,0.998707749809315
4,2022-08-06,2,0.00117005579829346
4,2022-08-06,3,0
4,2022-08-06,4,0
4,2022-08-20,0,0
4,2022-08-20,1,0.99647228212373
4,2022-08-20,2,0.00352771787626973
4,2022-08-20,3,0
4,2022-08-20,4,0
4,2022-09-03,0,0.000277778554101234
4,2022-09-03,1,0.995245944291933
4,2022-09-03,2,0.00447627715396633
4,2022-09-03,3,0
4,2022-09-03,4,0
4,2022-09-17,0,0
4,2022-09-17,1,0.990464390631625
4,2022-09-17,2,0.00953560936837476
4,2022-09-17,3,0
4,2022-09-17,4,0
4,2022-10-01,0,0.00142946109648605
4,2022-10-01,1,0.965463420901298
4,2022-10-01,2,0.0331071180022159
4,2022-10-01,3,0
4,2022-10-01,4,0
4,2022-10-15,0,0.00249199654967224
4,2022-10-15,1,0.923600762508399
4,2022-10-15,2,0.0739072409419288
4,2022-10-15,3,0
4,2022-10-15,4,0
4,2022-10-29,0,0.000385476119893936
4,2022-10-29,1,0.791431692798758
4,2022-10-29,2,0.208182831081348
4,2022-10-29,3,0
4,2022-10-29,4,0
4,2022-11-12,0,0.000719728807323631
4,2022-11-12,1,0.686428857823629
4,2022-11-12,2,0.312851413369048
4,2022-11-12,3,0
4,2022-11-12,4,0
4,2022-11-26,0,0
4,2022-11-26,1,0.462067729399658
4,2022-11-26,2,0.537932270600342
4,2022-11-26,3,0
4,2022-11-26,4,0
4,2022-12-10,0,0
4,2022-12-10,1,0.318249449244127
4,2022-12-10,2,0.681750550755873
4,2022-12-10,3,0
4,2022-12-10,4,0
4,2022-12-24,0,0
4,2022-12-24,1,0.214096896476158
4,2022-12-24,2,0.785903103523842
4,2022-12-24,3,0
4,2022-12-24,4,0
4,2023-01-07,0,0
4,2023-01-07,1,0.143905893934409
4,2023-01-07,2,0.856094106065591
4,2023-01-07,3,0
4,2023-01-07,4,0
4,2023-01-21,0,0
4,2023-01-21,1,0.0754582799659689
4,2023-01-21,2,0.924541720034031
4,2023-01-21,3,0
4,2023-01-21,4,0
4,2023-02-04,0,0
4,2023-02-04,1,0.0441296669119313
4,2023-02-04,2,0.951678902012744
4,2023-02-04,3,0.00419143107532507
4,2023-02-04,4,0
4,2023-02-18,0,0
4,2023-02-18,1,0.0165467271828602
4,2023-02-18,2,0.979325696012689
4,2023-02-18,3,0.00412757680445117
4,2023-02-18,4,0
4,2023-03-04,0,0
4,2023-03-04,1,0.0108209136735382
4,2023-03-04,2,0.979076301031236
4,2023-03-04,3,0.010102785295226
4,2023-03-04,4,0
4,2023-03-18,0,0
4,2023-03-18,1,0.00934708525555552
4,2023-03-18,2,0.961474888504756
4,2023-03-18,3,0.0291780262396882
4,2023-03-18,4,0
4,2023-04-01,0,0.00145265738628263
4,2023-04-01,1,0.00253463887957672
4,2023-04-01,2,0.954704732858664
4,2023-04-01,3,0.0413079708754768
4,2023-04-01,4,0
4,2023-04-15,0,0
4,2023-04-15,1,0
4,2023-04-15,2,0.940308649797218
4,2023-04-15,3,0.0596913502027819
4,2023-04-15,4,0
4,2023-04-29,0,0
4,2023-04-29,1,0
4,2023-04-29,2,0.905039591248889
4,2023-04-29,3,0.0949604087511115
4,2023-04-29,4,0
4,2023-05-13,0,0
4,2023-05-13,1,0
4,2023-05-13,2,0.862134872264712
4,2023-05-13,3,0.137865127735288
4,2023-05-13,4,0
4,2023-05-27,0,0
4,2023-05-27,1,0
4,2023-05-27,2,0.830136985644309
4,2023-05-27,3,0.169863014355691
4,2023-05-27,4,0
4,2023-06-10,0,0
4,2023-06-10,1,0
4,2023-06-10,2,0.773993807674288
4,2023-06-10,3,0.226006192325711
4,2023-06-10,4,0
4,2023-06-24,0,0
4,2023-06-24,1,0
4,2023-06-24,2,0.692307692250699
4,2023-06-24,3,0.307692307749301
4,2023-06-24,4,0
4,2023-07-08,0,0
4,2023-07-08,1,0.00255177874124414
4,2023-07-08,2,0.712792994440163
4,2023-07-08,3,0.284655226818593
4,2023-07-08,4,0
4,2023-07-22,0,0
4,2023-07-22,1,0
4,2023-07-22,2,0.659283199369103
4,2023-07-22,3,0.340716800630897
4,2023-07-22,4,0
4,2023-08-05,0,0
4,2023-08-05,1,0.001854050295645
4,2023-08-05,2,0.629153406859882
4,2023-08-05,3,0.368992542844473
4,2023-08-05,4,0
4,2023-08-19,0,0
4,2023-08-19,1,0
4,2023-08-19,2,0.620357740928041
4,2023-08-19,3,0.37964225907196
4,2023-08-19,4,0
4,2023-09-02,0,0
4,2023-09-02,1,0.000513413025536517
4,2023-09-02,2,0.557451063184917
4,2023-09-02,3,0.442035523789547
4,2023-09-02,4,0
4,2023-09-16,0,0
4,2023-09-16,1,0
4,2023-09-16,2,0.508164969922083
4,2023-09-16,3,0.491835030077917
4,2023-09-16,4,0
4,2023-09-30,0,0
4,2023-09-30,1,0
4,2023-09-30,2,0.42684453190242
4,2023-09-30,3,0.570883442421164
4,2023-09-30,4,0.00227202567641603
4,2023-10-14,0,0
4,2023-10-14,1,0.00251675462687069
4,2023-10-14,2,0.421933134268236
4,2023-10-14,3,0.573033356478022
4,2023-10-14,4,0.00251675462687069
4,2023-10-28,0,0
4,2023-10-28,1,0
4,2023-10-28,2,0.273885351698197
4,2023-10-28,3,0.710191080905638
4,2023-10-28,4,0.0159235673961647
4,2023-11-11,0,0
4,2023-11-11,1,0.0031249999812259
4,2023-11-11,2,0.218749999208218
4,2023-11-11,3,0.703125001261138
4,2023-11-11,4,0.0749999995494181
4,2023-11-25,0,0
4,2023-11-25,1,0
4,2023-11-25,2,0.179487182573221
4,2023-11-25,3,0.75384614961387
4,2023-11-25,4,0.0666666678129095
4,2023-12-09,0,0
4,2023-12-09,1,0
4,2023-12-09,2,0.118784529372988
4,2023-12-09,3,0.643646405465329
4,2023-12-09,4,0.237569065161682
4,2023-12-23,0,0
