"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_26coef","knot_27coef","knot_28coef","knot_29coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location","knot_26_location","knot_27_location","knot_28_location","knot_29_location"
"0-17",1,-14.1326357612098,0.140259067941284,0.000275442720433176,-4.79245381003232e-05,1.16027906532757e-05,8.46869814129863e-05,-9.68261675470554e-06,-7.19042577084184e-05,0.000163942644019511,-8.19264555755861e-05,-0.000400861480398378,0.000686548726095761,-0.000373705416309839,1.74753690147928e-05,2.32204297236729e-05,9.12444995124052e-06,-3.46878692326031e-05,9.06671753996583e-05,0.000197309056302398,-0.00108605650751202,0.00156706763928992,-0.00101348509206552,0.000303542770970931,-4.0469630502304e-05,7.17188208270236e-06,-2.72453732091971e-06,-2.652100086186e-05,3.13374062705185e-05,-3.92012070756537e-06,1.6014052063482e-05,-8.81381572929625e-05,0.000254253623691009,-0.000597379399236992,13.3030303030303,26.6060606060606,53.2121212121212,66.5151515151515,119.727272727273,133.030303030303,146.333333333333,159.636363636364,172.939393939394,199.545454545455,212.848484848485,266.060606060606,279.363636363636,292.666666666667,305.969696969697,319.272727272727,332.575757575758,345.878787878788,359.181818181818,372.484848484848,385.787878787879,532.121212121212,545.424242424242,558.727272727273,625.242424242424,811.484848484848,824.787878787879,838.090909090909,851.393939393939
"18-49",1,-8.59003328910662,0.641324182578702,-0.0635530010171162,0.00188579313548984,-0.00229433530668653,0.000506177916807191,-5.02806646478132e-05,-0.000157703411000675,0.000116446638302687,-2.88434839917349e-06,-1.82626910354806e-05,1.74228857622091e-05,-1.38555924856412e-05,5.3599436406934e-06,1.76471331212987e-05,-1.18445345497265e-05,2.14024384759689e-05,-4.79860260129291e-05,2.76490974117265e-05,-1.20922439500382e-05,7.26289446058701e-05,-0.00016085624306942,-0.00228792614226993,0,0,0,0,0,0,0,0,0,0,13.3030303030303,26.6060606060606,39.9090909090909,66.5151515151515,79.8181818181818,186.242424242424,199.545454545455,226.151515151515,345.878787878788,372.484848484848,385.787878787879,412.393939393939,611.939393939394,625.242424242424,638.545454545455,824.787878787879,838.090909090909,851.393939393939,864.69696969697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,-8.55947908397833,0.625782496229791,-0.0597116089068255,0.00175644147580028,-0.00212288027251157,0.000457622798151968,-4.79617501073609e-05,-0.000161597719697122,0.000129454981867097,-9.51858652511654e-06,-1.51305856962033e-05,1.71803103209422e-05,-1.21081296215852e-06,-6.08850269071726e-06,1.03635910989106e-05,-5.30038023723399e-06,-3.83264204930204e-05,4.15893494895046e-05,-7.37848988487712e-05,0.000113962288356149,-2.4546345430109e-05,-0.000100444879798834,8.44557300099636e-05,-4.65074935298828e-06,7.62897537694846e-06,-3.71755880242583e-05,0.000109126173212686,-0.000126891138964624,-0.002228683104371,0,0,0,0,13.3030303030303,26.6060606060606,39.9090909090909,66.5151515151515,79.8181818181818,146.333333333333,199.545454545455,226.151515151515,292.666666666667,305.969696969697,385.787878787879,452.30303030303,465.606060606061,478.909090909091,572.030303030303,585.333333333333,611.939393939394,625.242424242424,638.545454545455,718.363636363636,811.484848484848,824.787878787879,838.090909090909,851.393939393939,864.69696969697,-1,-1,-1,-1
"65+",1,-9.26017517177731,0.226434445419822,-0.00336526925926801,1.61807266121459e-05,-1.97909025423529e-06,-1.19553180571e-05,-1.03746864107883e-05,3.96387732890109e-06,2.82536244525462e-05,-5.05673661371016e-05,1.56822613279164e-05,0.000154350210713185,-0.000238142800718977,9.67016246992498e-05,-1.78710177707051e-05,7.79459034779659e-05,9.48693808637337e-05,-0.000758715545690316,0.00141079306411581,-0.00205534745835814,0.00273127389571969,-0.00220470233613229,0.000812503146267771,-0.000124632650159046,3.81647932838876e-05,-6.36741623314324e-06,0,0,0,0,0,0,0,26.6060606060606,66.5151515151515,199.545454545455,239.454545454545,252.757575757576,279.363636363636,319.272727272727,332.575757575758,345.878787878788,359.181818181818,425.69696969697,439,452.30303030303,465.606060606061,478.909090909091,492.212121212121,505.515151515152,518.818181818182,532.121212121212,545.424242424242,558.727272727273,572.030303030303,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-17.0650049630958,-0.0134287018967321,0.0105227785369706,-0.000207023291368969,7.47559701289267e-05,0.0001559398815488,-5.59989460443812e-05,2.73139756603665e-05,0.000256388006150211,-0.000627463468821363,0.000528443871041354,-6.59142063859631e-05,-0.000110117089600868,2.66886857006312e-05,-6.6644523130242e-06,0.000133524988267354,-0.00012444784222882,-0.000596465547110373,0.0013493484319289,-0.00110012456339262,0.000366882772891,-2.02747818653564e-05,-6.35699209272824e-06,1.78560018926255e-06,-2.9190627297467e-05,0.00016862841651604,-0.000550337587725616,0,0,0,0,0,0,13.3030303030303,26.6060606060606,93.1212121212121,133.030303030303,146.333333333333,159.636363636364,172.939393939394,186.242424242424,199.545454545455,239.454545454545,305.969696969697,319.272727272727,332.575757575758,345.878787878788,359.181818181818,372.484848484848,385.787878787879,399.090909090909,478.909090909091,585.333333333333,824.787878787879,838.090909090909,851.393939393939,-1,-1,-1,-1,-1,-1
"18-49",2,-13.4748889820552,0.473787714005124,-0.0542130864420217,0.00219517819233643,-0.00385514791718341,0.00288177371636464,-0.00189524936055346,0.00106153126973846,-0.000478420967555233,7.60422996320053e-05,-2.01544406678301e-05,3.95117102922862e-05,-2.31939955297098e-06,-1.79562796369233e-05,1.79740277395605e-05,-2.76172959428293e-06,-2.33932407883328e-05,2.7718643015174e-05,-4.59564091811224e-06,4.59397803259939e-06,2.68291051542187e-05,-8.34166173771033e-05,5.54322007889944e-05,-3.35637410434735e-06,-3.03619369944069e-05,0.000159777601011097,-0.000491325432543672,0,0,0,0,0,0,13.3030303030303,26.6060606060606,39.9090909090909,53.2121212121212,66.5151515151515,79.8181818181818,93.1212121212121,106.424242424242,212.848484848485,226.151515151515,252.757575757576,359.181818181818,372.484848484848,385.787878787879,439,598.636363636364,611.939393939394,625.242424242424,638.545454545455,718.363636363636,824.787878787879,838.090909090909,851.393939393939,-1,-1,-1,-1,-1,-1
"50-64",2,-13.00094951752,0.372824108104299,-0.0407323755482179,0.00171183443370125,-0.00309814581393697,0.0023949890335001,-0.00153427188152294,0.000823489425897119,-0.00036121207736336,3.64768919571386e-05,3.40313384663307e-05,-1.45589632424064e-06,-1.20799007971848e-05,7.88286046250256e-06,-2.91830965470726e-06,7.64710740228789e-06,6.8927084232153e-05,-0.000178906910728599,0.000111325627410606,-5.59443775016075e-06,-8.15820948303169e-05,0.000129309401428336,-2.5338446636395e-05,-0.00011143792615922,9.12376787828135e-05,-4.15259068594571e-06,-2.68744916496312e-05,0.000142195643772863,-0.000438453637697914,0,0,0,0,13.3030303030303,26.6060606060606,39.9090909090909,53.2121212121212,66.5151515151515,79.8181818181818,106.424242424242,186.242424242424,199.545454545455,252.757575757576,345.878787878788,439,452.30303030303,465.606060606061,478.909090909091,558.727272727273,572.030303030303,585.333333333333,611.939393939394,625.242424242424,638.545454545455,718.363636363636,824.787878787879,838.090909090909,851.393939393939,-1,-1,-1,-1
"65+",2,-13.5727143773526,0.0723930933651563,0.0100855256499772,-0.000200257166042797,4.18873539777913e-05,0.000190365232787924,-6.42786953742045e-06,-2.30131268451189e-05,-1.09026392259616e-06,-1.0907016047962e-05,9.99977281469106e-06,-4.2493117098717e-06,2.57277672735358e-05,0.000127592259176535,-0.000519665304377459,0.000575440691266189,-0.000214570129314429,1.43715405816485e-05,-7.64855354664224e-06,-7.77395633646415e-05,0.000139363906269391,-2.20554004606373e-05,-0.000172815010825401,0.000147369096635733,-2.46125132073946e-06,-1.00783844824299e-05,6.98241439399076e-06,0.000227940623512283,-0.000948849183433363,0.000579756816569101,0,0,0,13.3030303030303,26.6060606060606,53.2121212121212,66.5151515151515,212.848484848485,226.151515151515,252.757575757576,425.69696969697,439,452.30303030303,465.606060606061,478.909090909091,492.212121212121,505.515151515152,558.727272727273,572.030303030303,585.333333333333,611.939393939394,625.242424242424,638.545454545455,665.151515151515,705.060606060606,824.787878787879,838.090909090909,851.393939393939,864.69696969697,-1,-1,-1
"0-17",3,-14.9106813510536,0.00155973434841396,-1.43751052922215e-05,3.41292209700044e-08,-3.54420464243334e-06,-9.1731051191482e-05,0.000601015639484564,-0.000809558334791567,-0.000427487297430225,0.0018513986957051,-0.0021186997022878,0.00176057782241609,-0.00107202993910041,0.000366603355820823,-6.37022220752295e-05,1.59675990925048e-05,-1.18764811796063e-05,-8.78035758652313e-05,0.000123205865082082,-6.24381562154458e-05,1.88508167025181e-05,8.10445835348551e-05,-7.96983502660457e-05,1.52403352681308e-05,-6.40504894700748e-06,2.55856083715931e-05,-0.000115047543882917,0.000295994411669416,-0.000659873638957553,0,0,0,0,305.969696969697,319.272727272727,332.575757575758,345.878787878788,359.181818181818,372.484848484848,385.787878787879,399.090909090909,412.393939393939,425.69696969697,439,452.30303030303,505.515151515152,518.818181818182,532.121212121212,572.030303030303,598.636363636364,611.939393939394,625.242424242424,691.757575757576,744.969696969697,811.484848484848,824.787878787879,838.090909090909,851.393939393939,-1,-1,-1,-1
"18-49",3,-14.8578026303336,0.000506557329771423,-5.16809712702183e-06,1.20663655160557e-08,7.3530954252922e-06,-4.15478265411884e-05,0.000134641208815778,0.000359214477247964,-0.00189136362246273,0.00273707850962439,-0.00168338220106874,0.000239067081331574,0.000254903300372606,-0.000120175401259346,1.66291898605654e-05,-1.30000657995719e-05,4.46031843722311e-06,2.58878878849797e-05,-6.89661349341702e-05,4.00120480475177e-05,1.85883756647584e-05,-0.000101756221456315,0.000292388020127954,-0.000684631625824115,0,0,0,0,0,0,0,0,0,186.242424242424,199.545454545455,212.848484848485,226.151515151515,239.454545454545,252.757575757576,266.060606060606,279.363636363636,292.666666666667,305.969696969697,385.787878787879,412.393939393939,598.636363636364,611.939393939394,625.242424242424,638.545454545455,811.484848484848,824.787878787879,838.090909090909,851.393939393939,-1,-1,-1,-1,-1,-1,-1,-1,-1
