vaccination,ihr_reduction,immune_escape,vaccine_efficacy,r0_percentage,kp_intro_time,id
0,75,100,5,97,12,a1
0,75,100,5,88,12,a1
100,75,100,5,97,12,a1
100,75,100,5,88,12,a1
0,0,100,5,88,12,b1
100,75,100,5,88,12,b1
100,0,100,5,88,12,b1
100,100,100,5,88,12,b1
0,0,100,5,88,12,c1
20,0,100,5,88,12,c1
40,0,100,5,88,12,c1
60,0,100,5,88,12,c1
80,0,100,5,88,12,c1
100,0,100,5,88,12,c1
0,75,100,5,88,12,c1
20,75,100,5,88,12,c1
40,75,100,5,88,12,c1
60,75,100,5,88,12,c1
80,75,100,5,88,12,c1
100,75,100,5,88,12,c1
0,100,100,5,88,12,c1
20,100,100,5,88,12,c1
40,100,100,5,88,12,c1
60,100,100,5,88,12,c1
80,100,100,5,88,12,c1
100,100,100,5,88,12,c1
0,0,100,5,88,12,d1
100,0,100,0,88,12,d1
100,50,100,0,88,12,d1
100,75,100,0,88,12,d1
100,100,100,0,88,12,d1
100,0,100,20,88,12,d1
100,50,100,20,88,12,d1
100,75,100,20,88,12,d1
100,100,100,20,88,12,d1
0,75,100,0,97,12,e1
0,75,100,0,88,12,e1
100,75,100,0,97,12,e1
100,75,100,0,88,12,e1
200,75,100,0,97,12,e1
200,75,100,0,88,12,e1
0,75,100,0,88,12,f1
0,75,100,0,89,12,f1
0,75,100,0,90,12,f1
0,75,100,0,91,12,f1
0,75,100,0,92,12,f1
0,75,100,0,93,12,f1
0,75,100,0,94,12,f1
0,75,100,0,95,12,f1
0,75,100,0,96,12,f1
0,75,100,0,97,12,f1
0,75,100,0,sample,12,g1
85,75,100,0,sample,12,g1
200,75,100,0,sample,12,g1
